datetime,open,high,low,close,volume
2020-01-01T09:15:00+05:30,749.36,752.77,748.87,751.51,565920
2020-01-01T09:20:00+05:30,751.51,753.86,751.51,752.79,491854
2020-01-01T09:25:00+05:30,752.82,753.51,752.33,753.31,229760
2020-01-01T09:30:00+05:30,753.14,753.34,751.73,752.08,194918
2020-01-01T09:35:00+05:30,751.93,752.57,751.83,752.33,128706
2020-01-01T09:40:00+05:30,752.25,752.25,750.79,751.09,177762
2020-01-01T09:45:00+05:30,751.09,751.34,750.82,751.14,157092
2020-01-01T09:50:00+05:30,751.02,752.82,750.99,752.35,124954
2020-01-01T09:55:00+05:30,752.23,752.57,751.83,751.86,96514
2020-01-01T10:00:00+05:30,751.83,752.08,751.09,751.09,89518
2020-01-01T10:05:00+05:30,751.14,751.34,748.5,749.86,305796
2020-01-01T10:10:00+05:30,749.86,750.55,749.61,750.25,135782
2020-01-01T10:15:00+05:30,750.25,750.79,749.88,750.13,83174
2020-01-01T10:20:00+05:30,750.13,750.15,749.61,749.83,79810
2020-01-01T10:25:00+05:30,749.86,750.35,749.44,750.35,95178
2020-01-01T10:30:00+05:30,750.35,751.49,749.96,750.84,123226
2020-01-01T10:35:00+05:30,750.84,751.58,750.65,751.34,84018
2020-01-01T10:40:00+05:30,751.49,751.49,750.84,750.84,78944
2020-01-01T10:45:00+05:30,751.07,751.09,749.86,750.35,138488
2020-01-01T10:50:00+05:30,750.33,750.35,748.13,749.34,271254
2020-01-01T10:55:00+05:30,749.29,749.76,748.52,748.87,188616
2020-01-01T11:00:00+05:30,748.82,750.3,748.82,749.56,99866
2020-01-01T11:05:00+05:30,749.51,749.81,749.22,749.56,39778
2020-01-01T11:10:00+05:30,749.71,749.86,749.36,749.76,43540
2020-01-01T11:15:00+05:30,749.81,749.86,749.54,749.59,48410
2020-01-01T11:20:00+05:30,749.61,749.81,749.26,749.26,42370
2020-01-01T11:25:00+05:30,749.26,749.76,748.87,749.76,68514
2020-01-01T11:30:00+05:30,749.76,750.05,749.54,750.05,47078
2020-01-01T11:35:00+05:30,750.03,750.25,749.73,750.08,63860
2020-01-01T11:40:00+05:30,749.86,750.05,749.61,749.81,28686
2020-01-01T11:45:00+05:30,749.78,749.81,748.94,749.19,46798
2020-01-01T11:50:00+05:30,749.36,749.36,749.02,749.12,40342
2020-01-01T11:55:00+05:30,749.12,749.31,748.57,749.31,80790
2020-01-01T12:00:00+05:30,749.09,750.18,749.09,750.05,77418
2020-01-01T12:05:00+05:30,749.96,750.05,749.12,749.36,61698
2020-01-01T12:10:00+05:30,749.36,749.68,748.92,749.31,84606
2020-01-01T12:15:00+05:30,749.34,750.1,749.22,749.56,77252
